ticker,caldt,crsp_fundno,mret
VBMFX,20211029,031239,-0.000306
VBMFX,20211130,031239,0.003261
VBMFX,20211231,031239,-0.004058
VTMGX,20100129,031266,-0.047489
VTMGX,20100226,031266,0.000000
VTMGX,20100331,031266,0.062610
VTMGX,20100430,031266,-0.023466
VTMGX,20100528,031266,-0.111830
VTMGX,20100630,031266,-0.016649
VTMGX,20100730,031266,0.107937
VTMGX,20100831,031266,-0.036294
VTMGX,20100930,031266,0.101090
VTMGX,20101029,031266,0.038704
VTMGX,20101130,031266,-0.051127
VTMGX,20101231,031266,0.083280
VTMGX,20110131,031266,0.022453
VTMGX,20110228,031266,0.035473
VTMGX,20110331,031266,-0.025853
VTMGX,20110429,031266,0.063652
VTMGX,20110531,031266,-0.028346
VTMGX,20110630,031266,-0.012966
VTMGX,20110729,031266,-0.019704
VTMGX,20110831,031266,-0.089615
VTMGX,20110930,031266,-0.103956
VTMGX,20111031,031266,0.093429
VTMGX,20111130,031266,-0.026291
VTMGX,20111230,031266,-0.023292
VTMGX,20120131,031266,0.058223
VTMGX,20120229,031266,0.051158
VTMGX,20120330,031266,0.002204
VTMGX,20120430,031266,-0.022915
VTMGX,20120531,031266,-0.112570
VTMGX,20120629,031266,0.071882
VTMGX,20120731,031266,0.002959
VTMGX,20120831,031266,0.031465
VTMGX,20120928,031266,0.028150
VTMGX,20121031,031266,0.011353
VTMGX,20121130,031266,0.024322
VTMGX,20121231,031266,0.038475
VTMGX,20130131,031266,0.044405
VTMGX,20130228,031266,-0.013605
VTMGX,20130328,031266,0.013966
VTMGX,20130430,031266,0.052092
VTMGX,20130531,031266,-0.030032
VTMGX,20130628,031266,-0.028780
VTMGX,20130731,031266,0.053368
VTMGX,20130830,031266,-0.014120
VTMGX,20130930,031266,0.075200
VTMGX,20131031,031266,0.032258
VTMGX,20131129,031266,0.006860
VTMGX,20131231,031266,0.015917
VTMGX,20140131,031266,-0.045693
VTMGX,20140228,031266,0.057300
VTMGX,20140331,031266,-0.004216
VTMGX,20140430,031266,0.015072
VTMGX,20140530,031266,0.016333
VTMGX,20140630,031266,0.010557
VTMGX,20140731,031266,-0.022677
VTMGX,20140829,031266,0.002994
VTMGX,20140930,031266,-0.041941
VTMGX,20141031,031266,-0.004699
VTMGX,20141128,031266,0.000787
VTMGX,20141231,031266,-0.037254
VTMGX,20150130,031266,0.009039
VTMGX,20150227,031266,0.059446
VTMGX,20150331,031266,-0.012561
VTMGX,20150430,031266,0.040657
VTMGX,20150529,031266,-0.001503
VTMGX,20150630,031266,-0.027851
VTMGX,20150731,031266,0.012539
VTMGX,20150831,031266,-0.072755
VTMGX,20150930,031266,-0.040777
VTMGX,20151030,031266,0.068182
VTMGX,20151130,031266,-0.009002
VTMGX,20151231,031266,-0.018072
VTMGX,20160129,031266,-0.057530
VTMGX,20160229,031266,-0.029623
VTMGX,20160331,031266,0.071348
VTMGX,20160429,031266,0.024284
VTMGX,20160531,031266,-0.004234
VTMGX,20160630,031266,-0.022452
VTMGX,20160729,031266,0.044092
VTMGX,20160831,031266,0.005068
VTMGX,20160930,031266,0.013965
VTMGX,20161031,031266,-0.023314
VTMGX,20161130,031266,-0.015345
VTMGX,20161230,031266,0.024870
VTMGX,20170131,031266,0.036627
VTMGX,20170228,031266,0.009860
VTMGX,20170331,031266,0.029965
VTMGX,20170428,031266,0.022998
VTMGX,20170531,031266,0.034109
VTMGX,20170630,031266,0.005675
VTMGX,20170731,031266,0.029412
VTMGX,20170831,031266,0.000733
VTMGX,20170929,031266,0.024012
VTMGX,20171031,031266,0.018665
VTMGX,20171130,031266,0.008457
VTMGX,20171229,031266,0.016789
VTMGX,20180131,031266,0.048577
VTMGX,20180228,031266,-0.052283
VTMGX,20180329,031266,-0.004669
VTMGX,20180430,031266,0.015493
VTMGX,20180531,031266,-0.015950
VTMGX,20180629,031266,-0.015250
VTMGX,20180731,031266,0.023188
VTMGX,20180831,031266,-0.019122
VTMGX,20180928,031266,0.007251
VTMGX,20181031,031266,-0.084892
VTMGX,20181130,031266,0.003931
VTMGX,20181231,031266,-0.053671
VTMGX,20190131,031266,0.073579
VTMGX,20190228,031266,0.021807
VTMGX,20190329,031266,0.004229
VTMGX,20190430,031266,0.028963
VTMGX,20190531,031266,-0.052593
VTMGX,20190628,031266,0.059307
VTMGX,20190731,031266,-0.020896
VTMGX,20190830,031266,-0.019055
VTMGX,20190930,031266,0.030873
VTMGX,20191031,031266,0.032625
VTMGX,20191129,031266,0.013960
VTMGX,20191231,031266,0.034899
VTMGX,20200131,031266,-0.027581
VTMGX,20200228,031266,-0.075636
VTMGX,20200331,031266,-0.155227
VTMGX,20200430,031266,0.076707
VTMGX,20200529,031266,0.055604
VTMGX,20200630,031266,0.034000
VTMGX,20200731,031266,0.026400
VTMGX,20200831,031266,0.050663
VTMGX,20200930,031266,-0.020112
VTMGX,20201030,031266,-0.037291
