Date,MKTRF,SMB,HML,RMW,CMA,REV,MOM
11/30/1978,110.6782049,224.6874016,254.1622615,100.4575854,177.6929554,261.65094,379.1960219
12/31/1978,111.6521731,227.0915568,248.596108,102.4265541,175.2407927,262.3050673,390.7615006
1/31/1979,116.37506,235.8118725,254.2392397,99.86589024,177.9920731,260.2853183,385.916058
2/28/1979,112.2321079,237.1088378,257.2901105,98.72741909,179.8431907,262.7580288,381.8253478
3/31/1979,118.6068916,244.6014771,255.5662668,99.33952909,180.3467516,261.8120999,392.8219178
4/30/1979,118.5357275,250.4719126,258.2497126,100.3825941,180.7254798,260.7910327,396.0037753
5/31/1979,115.9160879,250.8476204,261.6586088,98.98727609,180.0929406,262.7469655,393.7465538
6/30/1979,120.3788573,253.3310119,265.5311562,97.39358094,179.2825224,255.6265227,396.9752755
7/31/1979,121.3659639,256.4723164,270.0451859,97.19879378,180.3402892,250.5139923,392.648245
8/31/1979,128.0775017,261.5248211,265.8594855,98.73453472,177.725355,246.230203,391.7451541
9/30/1979,127.0272662,260.818704,263.546508,99.74162698,178.685072,246.4271872,412.6643453
10/31/1979,116.7380576,251.7943769,258.6445429,100.7789399,179.1139161,250.0496668,421.4128294
11/30/1979,122.8201104,257.9381597,250.2385953,100.8897967,175.5316378,244.3985443,454.9572906
12/31/1979,125.0185904,269.1326758,245.2838711,100.2138351,173.7587683,243.5920291,476.7042491
1/31/1980,131.9071147,274.2461966,249.6989808,98.54026405,177.2513195,241.3266233,512.5047382
2/29/1980,130.2978479,270.1599283,251.2471144,98.64865834,182.6220345,241.133562,552.8901116
3/31/1980,113.4894256,251.3297813,248.583895,100.0100098,180.1748992,247.4030346,499.8679499
4/30/1980,117.9949558,253.8430791,251.2188843,97.91980062,181.1478437,247.1061509,497.7685045
5/31/1980,124.2014904,259.1737838,252.198638,98.223352,180.2964488,248.9841577,492.2432741
6/30/1980,128.002056,262.9836384,249.9540701,98.13495098,178.5836326,241.7885155,500.0699422
7/31/1980,136.3093895,273.3188954,234.2069637,102.0014681,174.1904752,237.8715416,501.920201
8/31/1980,138.7629585,284.9622803,228.0238998,104.1434989,172.7969514,234.232107,517.9314554
9/30/1980,141.8018673,286.6150616,217.101555,106.2576119,167.9413571,230.0627755,546.1069265
10/31/1980,143.3049671,293.2931925,211.1529724,108.032114,165.8924725,223.5519989,586.0819536
11/30/1980,157.0479134,283.321224,193.5216992,112.9259688,156.3702446,206.114943,675.4008433
12/31/1980,149.9493477,282.4429282,198.7080808,111.5143942,158.2154135,213.1434626,630.4866872
1/31/1981,142.3919006,291.9612548,212.2997135,107.5667846,165.097784,229.3423657,580.4260442
2/28/1981,143.2035344,290.5306447,214.3590207,107.7711615,168.8124841,235.282333,572.3581222
3/31/1981,148.3015803,299.4789885,215.7952261,105.2493163,167.9177779,238.9527374,576.5363365
4/30/1981,145.1724169,313.255022,220.6721983,106.1123607,169.9327913,245.6912046,571.0592413
5/31/1981,145.3321066,320.9297701,219.7233078,106.4625315,167.2138666,249.6222639,592.4739629
6/30/1981,141.9022689,317.8167513,230.9951135,105.0252873,171.6951982,252.0186376,557.5179991
7/31/1981,139.7169739,311.5557613,229.4705457,106.1595605,166.4756642,243.1727834,543.4685455
8/31/1981,129.880899,305.916602,240.5769202,105.8941616,168.9062089,246.2853951,537.3816978
9/30/1981,120.5684385,298.2992786,253.08692,105.8729827,173.6186921,259.01835,547.9681172
10/31/1981,126.5004057,304.9811825,242.4319607,109.3562038,168.8268162,246.300549,570.2704196
11/30/1981,130.7508193,300.7724421,247.0381679,109.4655601,169.8904252,247.7290922,568.7877165
12/31/1981,125.9784144,304.3516342,248.8662504,109.6735446,173.9847844,251.0982078,576.2957144
1/31/1982,121.8967138,300.7602849,256.7553105,108.0065067,177.6036679,267.193603,586.2656302
2/28/1982,114.7535663,301.873098,272.4173844,104.3558868,185.7201556,283.064903,615.5789117
3/31/1982,112.6076747,301.873098,282.7147616,102.853162,190.1217232,294.5007251,633.6153738
4/30/1982,116.2899456,305.3446386,274.8552912,104.4062448,189.8365407,289.4058625,631.0175508
5/31/1982,111.6499768,307.0545686,279.830172,105.3563416,189.6656878,294.0652969,647.1084983
6/30/1982,108.1999925,305.4885903,284.1395566,105.3879485,194.8245945,299.7113506,679.4639233
7/31/1982,104.7484127,308.3907319,284.565766,106.4734444,197.8248932,306.7845385,709.8359606
8/31/1982,116.4173859,295.1607695,287.8667288,104.3865649,198.180978,303.7166931,684.8497348
9/30/1982,117.9191702,302.7464013,288.8454757,106.5995601,198.1017056,302.3195963,713.4079688
10/31/1982,131.2440364,308.5591322,278.2159622,106.9193587,197.3687293,299.4777921,713.6219912
11/30/1982,137.3731329,322.5368609,272.7629294,105.7967055,198.0003093,302.5624134,755.6543264
12/31/1982,138.1286852,322.5046072,272.7902057,105.7226478,200.0397125,305.7393187,755.8054573
1/31/1983,143.1013178,333.0827583,270.4442099,104.1368081,199.1195298,306.045058,742.9567645
2/28/1983,146.807642,342.7421583,272.2561861,103.5432283,201.150549,304.7290643,771.4120086
